Tenure;WarehouseToHome;NumberOfDeviceRegistered;PreferedOrderCat;SatisfactionScore;MaritalStatus;NumberOfAddress;Complain;DaySinceLastOrder;CashbackAmount;Churn
17.0;21.0;4;Grocery;5;Married;8;0;1.0;296.59.00;0
8.0;7.0;4;Mobile;3;Married;2;0;0.0;12.008.000.000.000.000;0
4.0;15.0;4;Fashion;3;Married;7;0;8.0;197.64;0
5.0;9.0;4;Phone;1;Married;2;1;3.0;151.95;0
11.0;17.0;2;Phone;1;Single;5;0;1.0;171.08.00;0
8.0;6.0;4;Fashion;5;Single;4;0;8.0;174.84;0
0.0;6.0;3;Laptop & Accessory;3;Divorced;2;0;7.0;152.96;0
3.0;6.0;3;Laptop & Accessory;1;Single;2;0;7.0;140.11.00;0
8.0;11.0;4;Grocery;1;Married;6;1;1.0;303.75;0
16.0;9.0;4;Fashion;1;Married;4;1;3.0;226.24.00;0
8.0;10.0;3;Grocery;2;Divorced;3;0;4.0;265.55.00;0
9.0;22.0;4;Laptop & Accessory;5;Married;5;0;2.0;156.47.00;0
8.0;8.0;4;Laptop & Accessory;1;Married;11;0;2.0;179.84;0
8.0;11.0;5;Phone;3;Married;3;0;1.0;145.29.00;0
0.0;11.0;4;Mobile;4;Married;2;0;3.0;123.68;0
17.0;19.0;5;Grocery;4;Married;3;0;10.0;268.36.00;0
8.0;11.0;5;Phone;1;Married;3;0;8.0;154.29.00;0
3.0;11.0;3;Mobile;1;Single;1;0;7.0;12.563.999.999.999.900;0
0.0;8.0;3;Laptop & Accessory;3;Single;2;1;4.0;144.78;0
4.0;11.0;3;Mobile;3;Married;2;0;3.0;129.11.00;0
1.0;10.0;4;Phone;5;Married;7;0;3.0;165.31.00;1
1.0;16.0;4;Phone;1;Single;3;0;1.0;135.81;1
1.0;11.0;6;Phone;1;Single;3;1;1.0;148.04.00;1
0.0;16.0;3;Laptop & Accessory;2;Single;1;0;1.0;149.05.00;0
1.0;16.0;3;Laptop & Accessory;3;Single;4;0;7.0;136.06.00;0
13.0;21.0;4;Fashion;3;Married;2;0;12.0;204.35.00;0
5.0;12.0;4;Laptop & Accessory;3;Married;3;0;3.0;208.46.00;0
0.0;11.0;3;Mobile;3;Married;2;0;3.0;12.516.999.999.999.900;0
15.0;13.0;4;Fashion;3;Single;3;0;3.0;217.41.00;0
8.0;14.0;4;Fashion;4;Divorced;6;0;3.0;22.489.999.999.999.900;0
8.0;16.0;5;Fashion;4;Single;3;0;3.0;211.21.00;0
14.0;14.0;3;Laptop & Accessory;4;Married;6;0;4.0;143.93;0
5.0;15.0;5;Laptop & Accessory;1;Married;1;0;7.0;146.68;0
9.0;11.0;4;Laptop & Accessory;3;Single;3;1;2.0;167.49.00;0
1.0;11.0;4;Phone;2;Divorced;2;0;2.0;149.00.00;0
0.0;6.0;3;Laptop & Accessory;4;Divorced;1;1;4.0;163.49.00;0
7.0;8.0;3;Laptop & Accessory;5;Single;1;1;2.0;145.38.00;0
6.0;12.0;4;Laptop & Accessory;4;Married;3;0;4.0;190.24.00;0
1.0;10.0;4;Phone;1;Single;3;1;1.0;140.69;1
9.0;18.0;4;Fashion;2;Single;1;0;8.0;188.58.00;0
8.0;11.0;4;Fashion;1;Married;4;1;3.0;222.13.00;0
8.0;6.0;3;Mobile;1;Married;4;0;2.0;12.269.999.999.999.900;0
11.0;22.0;3;Laptop & Accessory;4;Single;3;0;2.0;141.98;0
4.0;10.0;4;Phone;1;Married;6;0;5.0;145.97;0
8.0;10.0;4;Grocery;4;Single;5;0;1.0;262.34.00;0
2.0;19.0;4;Laptop & Accessory;4;Married;5;1;3.0;140.25.00;0
8.0;6.0;3;Fashion;2;Divorced;4;1;3.0;21.904.000.000.000.000;0
18.0;10.0;5;Fashion;3;Married;5;0;3.0;197.56.00;0
19.0;11.0;4;Laptop & Accessory;4;Single;9;0;2.0;179.91;0
8.0;15.0;3;Mobile;1;Married;4;0;3.0;120.75;0
8.0;23.0;3;Laptop & Accessory;5;Married;4;1;7.0;189.66;0
0.0;11.0;1;Phone;5;Single;2;0;0.0;110.91;1
8.0;11.0;3;Fashion;1;Single;2;1;7.0;188.37.00;0
4.0;15.0;2;Fashion;5;Married;2;1;8.0;23.916.000.000.000.000;0
0.0;11.0;4;Laptop & Accessory;3;Single;2;0;8.0;145.08.00;1
2.0;23.0;4;Fashion;5;Single;2;0;9.0;179.88;0
4.0;8.0;5;Mobile;1;Married;5;1;0.0;127.78;1
19.0;21.0;3;Others;4;Married;6;0;3.0;290.81;0
19.0;11.0;3;Mobile;3;Married;9;0;8.0;12.338.999.999.999.900;1
14.0;7.0;6;Laptop & Accessory;1;Married;4;1;3.0;199.57.00;0
15.0;9.0;4;Grocery;5;Divorced;9;0;9.0;290.95;0
5.0;11.0;3;Laptop & Accessory;4;Married;2;0;3.0;165.24.00;0
1.0;14.0;2;Phone;5;Single;2;0;8.0;160.78;0
8.0;11.0;3;Mobile;3;Married;2;0;0.0;12.403.999.999.999.900;0
21.0;11.0;4;Laptop & Accessory;3;Single;5;0;1.0;154.76;0
1.0;7.0;5;Phone;3;Married;8;1;3.0;153.00.00;1
8.0;12.0;4;Mobile;3;Single;1;0;7.0;128.38.00;0
14.0;16.0;3;Laptop & Accessory;1;Single;8;0;10.0;162.03.00;0
13.0;11.0;3;Mobile;1;Married;9;0;0.0;124.06.00;0
0.0;10.0;3;Laptop & Accessory;3;Divorced;2;1;3.0;141.62;0
21.0;10.0;4;Grocery;3;Married;11;1;14.0;262.07.00;0
8.0;9.0;5;Phone;1;Married;10;0;5.0;151.62;0
7.0;14.0;3;Laptop & Accessory;5;Married;4;0;0.0;151.21.00;0
14.0;15.0;4;Laptop & Accessory;5;Married;4;1;1.0;190.16.00;0
5.0;9.0;6;Phone;1;Married;6;1;1.0;152.78;1
5.0;14.0;5;Phone;3;Married;5;0;3.0;148.29.00;0
2.0;15.0;5;Phone;2;Married;3;0;5.0;174.36.00;0
3.0;7.0;6;Phone;2;Married;3;0;9.0;152.02.00;0
0.0;12.0;3;Phone;1;Married;2;1;2.0;56.00.00;0
11.0;20.0;3;Laptop & Accessory;4;Married;1;0;7.0;199.24.00;0
6.0;6.0;1;Grocery;3;Married;5;0;5.0;261.84;0
2.0;15.0;5;Phone;1;Married;3;0;5.0;174.36.00;0
1.0;9.0;4;Phone;4;Married;6;0;3.0;146.87;0
14.0;15.0;3;Fashion;3;Married;4;1;7.0;181.89;0
3.0;11.0;4;Phone;2;Married;10;0;3.0;137.61;0
8.0;9.0;5;Phone;2;Single;9;0;3.0;157.12.00;0
1.0;20.0;5;Laptop & Accessory;5;Married;7;1;3.0;186.34.00;1
5.0;16.0;3;Laptop & Accessory;1;Single;9;0;0.0;146.48.00;0
13.0;14.0;3;Laptop & Accessory;5;Married;3;1;0.0;165.16.00;0
4.0;8.0;3;Laptop & Accessory;2;Single;5;1;5.0;165.82;0
0.0;11.0;3;Mobile;2;Divorced;1;0;1.0;124.00.00;0
1.0;11.0;5;Phone;4;Single;6;1;3.0;148.13.00;1
8.0;11.0;4;Others;5;Married;6;0;3.0;324.43.00;0
0.0;11.0;5;Laptop & Accessory;3;Divorced;4;1;2.0;145.59.00;1
8.0;8.0;4;Mobile;3;Single;7;1;0.0;120.09.00;1
17.0;11.0;5;Fashion;2;Single;5;0;3.0;227.31.00;0
8.0;15.0;4;Phone;5;Divorced;11;0;5.0;154.05.00;0
5.0;11.0;1;Mobile;3;Married;7;1;2.0;127.59.00;1
0.0;11.0;4;Mobile;3;Divorced;2;0;2.0;12.538.999.999.999.900;0
19.0;6.0;3;Fashion;5;Married;2;0;7.0;204.53.00;0
8.0;11.0;4;Mobile;5;Single;2;0;2.0;124.05.00;0
8.0;12.0;3;Laptop & Accessory;3;Married;3;1;5.0;123.06.00;0
8.0;9.0;3;Phone;1;Married;2;0;0.0;117.06.00;0
1.0;20.0;5;Phone;5;Married;6;1;1.0;148.35.00;1
9.0;13.0;3;Phone;2;Single;3;0;1.0;146.78;0
1.0;10.0;4;Phone;3;Single;3;0;8.0;165.84;1
8.0;11.0;4;Laptop & Accessory;3;Divorced;11;0;3.0;190.38.00;0
8.0;7.0;4;Grocery;3;Married;5;1;3.0;22.964.999.999.999.900;0
2.0;16.0;4;Phone;3;Married;7;0;3.0;148.77;0
8.0;22.0;3;Mobile;3;Single;2;0;4.0;121.44.00;0
4.0;14.0;4;Laptop & Accessory;3;Married;3;0;10.0;159.91;0
16.0;11.0;4;Grocery;2;Single;4;0;1.0;284.92;0
1.0;12.0;4;Phone;4;Single;3;1;3.0;149.78;0
9.0;23.0;4;Fashion;3;Married;6;1;1.0;201.32.00;0
2.0;11.0;3;Phone;1;Married;2;0;10.0;138.12.00;0
10.0;14.0;3;Laptop & Accessory;4;Married;3;0;7.0;140.71;0
1.0;14.0;5;Laptop & Accessory;3;Divorced;4;0;1.0;186.32.00;0
23.0;11.0;3;Mobile;1;Married;5;0;0.0;12.380.000.000.000.000;0
21.0;9.0;2;Grocery;4;Married;8;0;3.0;284.72;0
8.0;13.0;4;Fashion;1;Married;8;1;3.0;20.933.999.999.999.900;0
11.0;16.0;3;Laptop & Accessory;3;Married;4;0;2.0;160.77;0
8.0;10.0;5;Laptop & Accessory;1;Single;7;0;6.0;176.71;0
14.0;12.0;5;Fashion;5;Divorced;7;1;3.0;229.75;0
4.0;11.0;3;Laptop & Accessory;5;Single;1;0;7.0;199.36.00;0
17.0;11.0;3;Grocery;5;Divorced;4;0;17.0;263.28.00;0
7.0;10.0;3;Laptop & Accessory;3;Married;10;0;2.0;165.38.00;0
20.0;8.0;3;Others;4;Single;8;1;8.0;292.46.00;1
8.0;11.0;5;Laptop & Accessory;1;Married;3;1;12.0;182.47.00;0
1.0;16.0;6;Phone;4;Single;3;0;3.0;152.06.00;1
17.0;11.0;4;Fashion;5;Single;8;1;3.0;229.48.00;1
8.0;13.0;4;Laptop & Accessory;3;Divorced;4;1;6.0;148.06.00;0
16.0;7.0;5;Laptop & Accessory;2;Divorced;11;1;3.0;185.62;0
16.0;9.0;4;Laptop & Accessory;1;Married;3;0;3.0;165.89;0
8.0;13.0;3;Phone;3;Married;2;0;0.0;11.274.000.000.000.000;0
10.0;11.0;4;Laptop & Accessory;3;Married;8;0;3.0;178.47.00;0
10.0;11.0;2;Laptop & Accessory;1;Married;6;0;4.0;150.71;0
3.0;11.0;3;Mobile;5;Married;6;0;3.0;132.04.00;0
0.0;11.0;1;Laptop & Accessory;3;Divorced;3;0;2.0;162.32.00;0
12.0;16.0;3;Laptop & Accessory;5;Married;3;0;7.0;153.77;0
6.0;17.0;4;Laptop & Accessory;1;Single;10;0;1.0;171.48.00;0
11.0;18.0;4;Laptop & Accessory;5;Married;3;0;2.0;162.88;0
6.0;7.0;5;Phone;4;Married;2;0;3.0;147.69;0
4.0;6.0;3;Laptop & Accessory;5;Married;2;0;3.0;141.48.00;0
17.0;9.0;4;Phone;1;Single;2;0;9.0;160.39.00;0
7.0;21.0;3;Fashion;2;Divorced;2;0;5.0;179.78;1
8.0;15.0;4;Laptop & Accessory;5;Married;7;0;3.0;190.00.00;0
15.0;9.0;5;Laptop & Accessory;3;Single;4;1;8.0;193.11.00;0
8.0;9.0;5;Grocery;2;Single;5;1;4.0;262.26.00;0
16.0;14.0;3;Laptop & Accessory;4;Married;5;0;0.0;147.65;0
3.0;12.0;4;Laptop & Accessory;1;Married;5;0;1.0;145.86;1
11.0;7.0;5;Phone;5;Divorced;4;0;3.0;164.02.00;0
0.0;5.0;4;Mobile;3;Single;2;0;2.0;130.33.00;0
20.0;9.0;4;Fashion;1;Married;5;0;3.0;210.78;0
11.0;11.0;4;Phone;3;Divorced;9;1;4.0;154.96;0
0.0;22.0;3;Fashion;5;Single;3;1;0.0;185.64;1
10.0;13.0;2;Phone;1;Married;5;0;1.0;155.38.00;0
1.0;22.0;4;Phone;3;Married;3;0;3.0;151.01.00;1
9.0;11.0;4;Laptop & Accessory;5;Married;5;1;3.0;214.66;0
1.0;6.0;4;Laptop & Accessory;1;Married;2;1;7.0;168.34.00;0
9.0;9.0;4;Laptop & Accessory;1;Married;4;0;8.0;182.62;0
2.0;10.0;4;Phone;4;Married;3;0;1.0;153.56.00;0
8.0;15.0;4;Phone;5;Married;6;1;3.0;167.57.00;0
12.0;23.0;4;Laptop & Accessory;4;Single;4;0;3.0;166.98;0
8.0;22.0;3;Fashion;3;Married;5;1;0.0;176.32.00;0
22.0;11.0;3;Laptop & Accessory;5;Married;2;0;11.0;165.67;0
8.0;11.0;3;Laptop & Accessory;3;Married;3;0;7.0;168.83;0
20.0;11.0;3;Others;3;Married;4;0;0.0;296.58.00;0
8.0;9.0;4;Phone;3;Divorced;2;0;0.0;112.81;0
20.0;20.0;3;Laptop & Accessory;4;Married;9;0;7.0;154.67;0
0.0;10.0;3;Mobile;2;Single;2;1;2.0;128.75;0
8.0;11.0;4;Fashion;3;Married;10;0;9.0;232.39.00;0
22.0;7.0;2;Grocery;1;Single;4;0;2.0;293.85;0
16.0;21.0;4;Grocery;3;Married;2;0;11.0;276.03.00;0
7.0;9.0;5;Laptop & Accessory;1;Single;6;0;2.0;160.29.00;0
1.0;11.0;4;Phone;3;Married;3;0;1.0;148.77;1
8.0;16.0;3;Mobile;3;Divorced;2;1;0.0;12.219.999.999.999.900;0
8.0;14.0;4;Laptop & Accessory;4;Married;2;1;7.0;12.133.000.000.000.000;0
4.0;8.0;4;Laptop & Accessory;5;Divorced;4;0;0.0;164.01.00;0
8.0;13.0;5;Phone;3;Single;2;0;8.0;153.38.00;0
14.0;11.0;4;Laptop & Accessory;5;Married;3;0;6.0;208.96;0
4.0;9.0;4;Phone;4;Divorced;3;0;1.0;149.76;0
18.0;15.0;4;Laptop & Accessory;3;Divorced;2;0;12.0;155.93;0
10.0;10.0;5;Fashion;1;Married;6;0;3.0;221.99;0
18.0;11.0;4;Phone;4;Single;3;0;4.0;159.02.00;0
11.0;17.0;4;Laptop & Accessory;4;Single;4;1;2.0;166.97;0
8.0;18.0;5;Laptop & Accessory;4;Married;6;0;9.0;169.09.00;0
22.0;11.0;3;Mobile;5;Married;5;1;2.0;125.87;0
4.0;11.0;4;Laptop & Accessory;5;Married;2;0;3.0;224.57.00;0
0.0;11.0;4;Fashion;2;Married;2;1;3.0;22.807.999.999.999.900;0
18.0;11.0;4;Grocery;5;Married;5;0;18.0;288.28.00;0
13.0;11.0;4;Laptop & Accessory;3;Single;2;0;9.0;175.42.00;0
8.0;22.0;4;Grocery;3;Married;4;1;3.0;282.87;0
0.0;17.0;1;Laptop & Accessory;3;Married;9;0;2.0;147.07.00;1
1.0;11.0;2;Phone;5;Married;2;0;1.0;154.56.00;1
1.0;14.0;4;Phone;4;Single;3;1;1.0;149.72;1
20.0;22.0;4;Others;4;Divorced;7;0;4.0;315.81;0
4.0;11.0;3;Phone;1;Married;1;1;3.0;148.21.00;0
1.0;7.0;3;Phone;5;Married;2;0;2.0;135.91;0
8.0;22.0;4;Laptop & Accessory;4;Married;1;1;2.0;147.88;0
13.0;15.0;3;Laptop & Accessory;3;Married;4;0;7.0;139.75;0
1.0;16.0;4;Phone;4;Single;3;0;4.0;147.79;0
8.0;17.0;3;Laptop & Accessory;3;Divorced;9;0;4.0;131.49.00;0
19.0;11.0;6;Fashion;3;Married;6;0;3.0;222.56.00;0
8.0;17.0;5;Fashion;1;Single;8;0;3.0;229.96;0
0.0;22.0;5;Phone;5;Single;2;1;7.0;139.19.00;1
15.0;11.0;5;Grocery;4;Married;2;0;11.0;260.07.00;0
7.0;16.0;3;Laptop & Accessory;3;Married;2;1;7.0;140.01.00;0
11.0;6.0;4;Mobile;5;Single;5;0;0.0;128.58.00;0
8.0;7.0;4;Laptop & Accessory;3;Married;2;0;14.0;188.47.00;0
8.0;21.0;2;Others;4;Single;10;0;16.0;312.22.00;0
15.0;12.0;3;Fashion;5;Married;10;0;7.0;23.348.000.000.000.000;0
15.0;11.0;4;Fashion;3;Married;2;1;3.0;229.47.00;0
4.0;14.0;3;Laptop & Accessory;1;Single;2;0;8.0;144.24.00;0
8.0;12.0;4;Mobile;3;Married;1;0;3.0;121.87;0
0.0;8.0;4;Mobile;1;Single;8;0;0.0;127.85;1
7.0;6.0;1;Mobile;1;Single;3;0;3.0;132.08.00;0
2.0;11.0;4;Laptop & Accessory;3;Married;3;0;5.0;167.21.00;0
9.0;11.0;5;Phone;5;Single;3;0;2.0;150.59.00;0
4.0;8.0;3;Mobile;3;Married;1;0;2.0;130.67;0
10.0;18.0;5;Laptop & Accessory;1;Married;6;0;1.0;191.52.00;0
8.0;11.0;3;Mobile;3;Divorced;5;0;0.0;122.59.00;0
7.0;11.0;4;Laptop & Accessory;3;Divorced;3;0;2.0;170.39.00;0
1.0;7.0;6;Phone;4;Single;9;1;8.0;147.16.00;1
0.0;9.0;4;Fashion;1;Married;2;1;7.0;203.25.00;1
19.0;11.0;4;Laptop & Accessory;4;Divorced;3;0;9.0;169.47.00;0
16.0;11.0;3;Grocery;1;Married;2;1;12.0;269.59.00;0
4.0;9.0;5;Phone;5;Single;2;0;8.0;174.68;0
16.0;11.0;4;Laptop & Accessory;3;Married;4;0;3.0;170.56.00;0
0.0;12.0;3;Mobile;5;Single;3;0;3.0;129.06.00;1
8.0;11.0;5;Fashion;5;Married;6;0;3.0;227.66;0
8.0;13.0;1;Laptop & Accessory;1;Married;1;1;9.0;152.02.00;0
15.0;7.0;4;Laptop & Accessory;5;Married;2;0;8.0;166.03.00;0
6.0;9.0;4;Laptop & Accessory;3;Single;6;1;8.0;174.98;0
6.0;15.0;4;Fashion;2;Single;3;0;3.0;214.98;0
8.0;13.0;3;Others;5;Divorced;6;0;10.0;295.66;0
6.0;13.0;3;Fashion;3;Divorced;1;0;3.0;21.691.000.000.000.000;0
5.0;14.0;5;Phone;3;Divorced;5;0;3.0;148.29.00;0
1.0;11.0;3;Mobile;2;Divorced;2;0;2.0;127.13.00;0
7.0;9.0;4;Laptop & Accessory;1;Married;3;0;5.0;180.05.00;0
8.0;11.0;3;Mobile;3;Married;5;1;1.0;121.32.00;1
1.0;13.0;4;Phone;1;Married;3;1;3.0;81.00.00;0
2.0;23.0;3;Laptop & Accessory;5;Single;2;0;8.0;181.61;0
16.0;19.0;4;Phone;4;Married;10;0;5.0;152.66;0
19.0;9.0;1;Grocery;5;Married;3;0;8.0;232.25.00;0
16.0;14.0;2;Laptop & Accessory;4;Married;8;1;1.0;148.72;0
11.0;9.0;3;Laptop & Accessory;2;Single;9;1;0.0;168.61;0
10.0;21.0;4;Laptop & Accessory;1;Married;2;1;12.0;190.86;0
15.0;14.0;6;Others;3;Married;3;0;11.0;324.73;0
14.0;14.0;4;Others;4;Single;3;0;9.0;323.33.00;0
1.0;11.0;2;Phone;5;Single;3;0;1.0;135.91;1
23.0;8.0;3;Grocery;3;Married;6;0;3.0;276.39.00;0
13.0;11.0;3;Laptop & Accessory;4;Married;2;0;13.0;156.05.00;0
0.0;6.0;3;Mobile;4;Single;2;1;4.0;132.02.00;1
19.0;13.0;3;Laptop & Accessory;3;Married;3;0;0.0;152.58.00;0
8.0;11.0;4;Mobile;1;Married;2;0;2.0;12.375.999.999.999.900;0
8.0;14.0;3;Mobile;5;Married;10;0;4.0;129.05.00;0
10.0;17.0;4;Fashion;2;Single;3;0;3.0;224.08.00;0
1.0;7.0;6;Laptop & Accessory;4;Single;8;0;1.0;192.35.00;1
19.0;14.0;3;Laptop & Accessory;3;Divorced;6;0;3.0;189.34.00;0
6.0;11.0;3;Laptop & Accessory;3;Married;2;0;1.0;145.39.00;0
1.0;11.0;4;Laptop & Accessory;5;Married;2;0;4.0;147.24.00;0
16.0;12.0;4;Phone;3;Married;6;0;1.0;145.93;0
9.0;13.0;4;Phone;3;Divorced;2;1;3.0;160.06.00;0
1.0;11.0;3;Laptop & Accessory;2;Single;10;1;5.0;178.04.00;1
7.0;9.0;4;Phone;2;Single;2;0;3.0;150.00.00;0
1.0;11.0;2;Laptop & Accessory;3;Divorced;4;0;3.0;187.32.00;0
8.0;17.0;4;Phone;3;Divorced;3;1;1.0;147.02.00;0
8.0;21.0;3;Phone;1;Single;2;0;0.0;112.32.00;0
17.0;9.0;5;Fashion;1;Married;2;0;3.0;226.69;1
8.0;15.0;4;Mobile;3;Single;2;0;8.0;122.06.00;0
7.0;12.0;5;Phone;1;Married;3;0;3.0;154.11.00;0
16.0;16.0;4;Phone;1;Single;3;0;9.0;161.73;0
3.0;16.0;4;Laptop & Accessory;3;Married;2;0;4.0;165.78;0
11.0;8.0;3;Phone;1;Single;6;1;2.0;139.44.00;0
11.0;11.0;3;Mobile;5;Single;4;0;0.0;126.19.00;0
13.0;11.0;4;Fashion;5;Divorced;6;1;12.0;204.75;0
17.0;22.0;5;Grocery;3;Married;3;0;12.0;301.03.00;0
11.0;12.0;5;Laptop & Accessory;1;Married;8;1;9.0;153.29.00;0
7.0;15.0;4;Laptop & Accessory;3;Single;4;1;1.0;188.88;0
6.0;12.0;5;Laptop & Accessory;4;Married;5;0;6.0;183.78;0
11.0;10.0;3;Mobile;3;Married;8;0;0.0;133.06.00;0
15.0;11.0;3;Fashion;5;Married;4;1;0.0;23.191.000.000.000.000;0
13.0;11.0;5;Laptop & Accessory;5;Single;5;0;4.0;167.84;1
6.0;12.0;4;Phone;4;Single;4;0;8.0;152.18.00;0
7.0;8.0;3;Laptop & Accessory;1;Single;2;0;4.0;162.74;0
0.0;13.0;5;Laptop & Accessory;3;Single;2;1;6.0;160.74;1
16.0;9.0;5;Laptop & Accessory;2;Single;5;0;1.0;192.81;0
5.0;17.0;4;Laptop & Accessory;1;Married;4;1;5.0;190.83;0
19.0;8.0;3;Fashion;1;Married;5;1;3.0;203.68;0
0.0;13.0;4;Laptop & Accessory;5;Single;9;0;7.0;168.11.00;0
20.0;11.0;4;Phone;1;Single;3;0;1.0;150.87;1
8.0;7.0;4;Laptop & Accessory;4;Married;3;0;4.0;168.25.00;0
12.0;8.0;4;Laptop & Accessory;1;Married;9;0;4.0;152.04.00;0
1.0;8.0;4;Phone;3;Married;3;0;2.0;137.23.00;0
4.0;13.0;3;Fashion;5;Married;3;0;2.0;196.37.00;0
9.0;7.0;5;Phone;5;Single;3;0;3.0;149.05.00;0
12.0;16.0;5;Phone;4;Divorced;2;0;3.0;153.99;0
8.0;7.0;4;Phone;2;Divorced;3;0;1.0;152.23.00;0
6.0;14.0;4;Laptop & Accessory;1;Married;6;0;3.0;217.04.00;0
21.0;9.0;4;Grocery;1;Married;3;1;1.0;292.52.00;0
7.0;8.0;1;Mobile;1;Married;1;1;2.0;129.32.00;0
8.0;11.0;5;Mobile;3;Single;2;0;1.0;122.93;1
7.0;12.0;3;Laptop & Accessory;3;Single;2;0;10.0;148.09.00;0
3.0;16.0;3;Fashion;3;Single;10;0;2.0;196.67;0
0.0;9.0;3;Mobile;5;Single;1;0;4.0;131.02.00;1
1.0;13.0;2;Phone;5;Married;3;1;1.0;141.01.00;1
13.0;8.0;3;Laptop & Accessory;4;Married;4;0;10.0;156.77;0
0.0;8.0;3;Mobile;4;Married;10;0;2.0;134.68;0
8.0;11.0;3;Mobile;4;Single;2;0;4.0;12.177.000.000.000.000;0
17.0;11.0;4;Mobile;3;Single;4;0;3.0;131.62;0
0.0;11.0;5;Mobile;3;Married;1;0;0.0;12.350.999.999.999.900;1
14.0;15.0;4;Laptop & Accessory;1;Married;5;1;3.0;165.69;0
1.0;7.0;5;Fashion;3;Married;7;0;3.0;23.108.999.999.999.900;1
9.0;9.0;6;Others;4;Single;4;1;12.0;313.24.00;1
0.0;15.0;4;Mobile;5;Single;8;0;3.0;134.07.00;1
20.0;11.0;5;Laptop & Accessory;4;Single;10;0;3.0;204.91;0
17.0;16.0;3;Laptop & Accessory;1;Married;3;1;3.0;164.65;0
17.0;11.0;2;Phone;3;Single;6;0;3.0;172.39.00;0
1.0;17.0;4;Fashion;3;Married;8;0;3.0;225.48.00;1
16.0;12.0;4;Fashion;4;Single;11;1;3.0;209.46.00;1
0.0;10.0;5;Fashion;2;Divorced;2;0;8.0;204.00.00;1
1.0;17.0;5;Phone;3;Single;3;0;3.0;151.25.00;1
0.0;6.0;3;Phone;4;Married;2;0;4.0;138.16.00;0
20.0;7.0;4;Others;2;Married;11;0;3.0;321.27.00;0
21.0;21.0;4;Laptop & Accessory;5;Single;4;0;8.0;174.06.00;0
