Tenure;WarehouseToHome;NumberOfDeviceRegistered;PreferedOrderCat;SatisfactionScore;MaritalStatus;NumberOfAddress;Complain;DaySinceLastOrder;CashbackAmount;Churn
01.00;32.00.00;5;Mobile Phone;4;Single;6;1;03.00;148.13.00;1
30.00.00;11.00;4;Others;5;Married;6;0;03.00;324.43.00;0
00.00;26.00.00;5;Laptop & Accessory;3;Divorced;4;1;02.00;145.59.00;1
;08.00;4;Mobile;3;Single;7;1;00.00;120.09.00;1
17.00;11.00;5;Fashion;2;Single;5;0;;227.31.00;0
26.00.00;15.00;4;Mobile Phone;5;Divorced;11;0;05.00;154.05.00;0
05.00;25.00.00;1;Mobile;3;Married;7;1;02.00;127.59.00;1
00.00;;4;Mobile;3;Divorced;2;0;02.00;12.538.999.999.999.900;0
19.00;06.00;3;Fashion;5;Married;2;0;07.00;204.53.00;0
08.00;;4;Mobile;5;Single;2;0;02.00;124.05.00;0
;12.00;3;Laptop & Accessory;3;Married;3;1;05.00;123.06.00;0
;09.00;3;Mobile Phone;1;Married;2;0;00.00;117.06.00;0
01.00;20.00;5;Mobile Phone;5;Married;6;1;01.00;148.35.00;1
09.00;13.00;3;Mobile Phone;2;Single;3;0;01.00;146.78;0
01.00;10.00;4;Mobile Phone;3;Single;3;0;08.00;165.84;1
08.00;11.00;4;Laptop & Accessory;3;Divorced;11;0;03.00;190.38.00;0
26.00.00;07.00;4;Grocery;3;Married;5;1;;22.964.999.999.999.900;0
02.00;16.00;4;Mobile Phone;3;Married;7;0;03.00;148.77;0
;22.00;3;Mobile;3;Single;2;0;04.00;121.44.00;0
04.00;14.00;4;Laptop & Accessory;3;Married;3;0;10.00;159.91;0
16.00;30.00.00;4;Grocery;2;Single;4;0;01.00;284.92;0
01.00;12.00;4;Mobile Phone;4;Single;3;1;03.00;149.78;0
09.00;23.00;4;Fashion;3;Married;6;1;01.00;201.32.00;0
02.00;26.00.00;3;Mobile Phone;1;Married;2;0;10.00;138.12.00;0
10.00;14.00;3;Laptop & Accessory;4;Married;3;0;07.00;140.71;0
01.00;14.00;5;Laptop & Accessory;3;Divorced;4;0;01.00;186.32.00;0
23.00;;3;Mobile;1;Married;5;0;00.00;12.380.000.000.000.000;0
21.00;09.00;2;Grocery;4;Married;8;0;03.00;284.72;0
26.00.00;13.00;4;Fashion;1;Married;8;1;;20.933.999.999.999.900;0
11.00;16.00;3;Laptop & Accessory;3;Married;4;0;02.00;160.77;0
31.00.00;10.00;5;Laptop & Accessory;1;Single;7;0;06.00;176.71;0
14.00;12.00;5;Fashion;5;Divorced;7;1;;229.75;0
04.00;11.00;3;Laptop & Accessory;5;Single;1;0;07.00;199.36.00;0
17.00;34.00.00;3;Grocery;5;Divorced;4;0;17.00;263.28.00;0
07.00;10.00;3;Laptop & Accessory;3;Married;10;0;02.00;165.38.00;0
20.00;08.00;3;Others;4;Single;8;1;08.00;292.46.00;1
08.00;29.00.00;5;Laptop & Accessory;1;Married;3;1;12.00;182.47.00;0
01.00;16.00;6;Mobile Phone;4;Single;3;0;03.00;152.06.00;1
17.00;31.00.00;4;Fashion;5;Single;8;1;;229.48.00;1
27.00.00;13.00;4;Laptop & Accessory;3;Divorced;4;1;06.00;148.06.00;0
16.00;07.00;5;Laptop & Accessory;2;Divorced;11;1;03.00;185.62;0
16.00;09.00;4;Laptop & Accessory;1;Married;3;0;03.00;165.89;0
;13.00;3;Mobile Phone;3;Married;2;0;00.00;11.274.000.000.000.000;0
10.00;33.00.00;4;Laptop & Accessory;3;Married;8;0;03.00;178.47.00;0
10.00;30.00.00;2;Laptop & Accessory;1;Married;6;0;04.00;150.71;0
03.00;11.00;3;Mobile;5;Married;6;0;30.00.00;132.04.00;0
00.00;24.00.00;1;Laptop & Accessory;3;Divorced;3;0;02.00;162.32.00;0
12.00;16.00;3;Laptop & Accessory;5;Married;3;0;07.00;153.77;0
06.00;17.00;4;Laptop & Accessory;1;Single;10;0;01.00;171.48.00;0
11.00;18.00;4;Laptop & Accessory;5;Married;3;0;02.00;162.88;0
06.00;07.00;5;Mobile Phone;4;Married;2;0;03.00;147.69;0
04.00;06.00;3;Laptop & Accessory;5;Married;2;0;03.00;141.48.00;0
17.00;09.00;4;Mobile Phone;1;Single;2;0;09.00;160.39.00;0
07.00;21.00;3;Fashion;2;Divorced;2;0;05.00;179.78;1
08.00;15.00;4;Laptop & Accessory;5;Married;7;0;03.00;190.00.00;0
15.00;09.00;5;Laptop & Accessory;3;Single;4;1;08.00;193.11.00;0
31.00.00;09.00;5;Grocery;2;Single;5;1;04.00;262.26.00;0
16.00;14.00;3;Laptop & Accessory;4;Married;5;0;00.00;147.65;0
18.00;26.00.00;3;Laptop & Accessory;3;Single;9;0;01.00;148.05.00;0
03.00;12.00;4;Laptop & Accessory;1;Married;5;0;01.00;145.86;1
11.00;07.00;5;Mobile Phone;5;Divorced;4;0;03.00;164.02.00;0
00.00;05.00;4;Mobile;3;Single;2;0;02.00;130.33.00;0
20.00;09.00;4;Fashion;1;Married;5;0;;210.78;0
11.00;11.00;4;Mobile Phone;3;Divorced;9;1;04.00;154.96;0
00.00;22.00;3;Fashion;5;Single;3;1;00.00;185.64;1
10.00;13.00;2;Mobile Phone;1;Married;5;0;01.00;155.38.00;0
01.00;22.00;4;Mobile Phone;3;Married;3;0;03.00;151.01.00;1
09.00;24.00.00;4;Laptop & Accessory;5;Married;5;1;;214.66;0
01.00;06.00;4;Laptop & Accessory;1;Married;2;1;07.00;168.34.00;0
09.00;09.00;4;Laptop & Accessory;1;Married;4;0;08.00;182.62;0
02.00;10.00;4;Mobile Phone;4;Married;3;0;01.00;153.56.00;0
30.00.00;15.00;4;Mobile Phone;5;Married;6;1;03.00;167.57.00;0
12.00;23.00;4;Laptop & Accessory;4;Single;4;0;03.00;166.98;0
08.00;22.00;3;Fashion;3;Married;5;1;00.00;176.32.00;0
22.00;26.00.00;3;Laptop & Accessory;5;Married;2;0;11.00;165.67;0
08.00;33.00.00;3;Laptop & Accessory;3;Married;3;0;07.00;168.83;0
20.00;32.00.00;3;Others;3;Married;4;0;00.00;296.58.00;0
;09.00;4;Mobile Phone;3;Divorced;2;0;00.00;112.81;0
20.00;20.00;3;Laptop & Accessory;4;Married;9;0;07.00;154.67;0
00.00;10.00;3;Mobile;2;Single;2;1;02.00;128.75;0
28.00.00;24.00.00;4;Fashion;3;Married;10;0;09.00;232.39.00;0
22.00;07.00;2;Grocery;1;Single;4;0;02.00;293.85;0
16.00;21.00;4;Grocery;3;Married;2;0;11.00;276.03.00;0
07.00;09.00;5;Laptop & Accessory;1;Single;6;0;02.00;160.29.00;0
01.00;28.00.00;4;Mobile Phone;3;Married;3;0;01.00;148.77;1
;16.00;3;Mobile;3;Divorced;2;1;00.00;12.219.999.999.999.900;0
;14.00;4;Laptop & Accessory;4;Married;2;1;07.00;12.133.000.000.000.000;0
04.00;08.00;4;Laptop & Accessory;5;Divorced;4;0;00.00;164.01.00;0
25.00.00;13.00;5;Mobile Phone;3;Single;2;0;08.00;153.38.00;0
14.00;33.00.00;4;Laptop & Accessory;5;Married;3;0;06.00;208.96;0
04.00;09.00;4;Mobile Phone;4;Divorced;3;0;01.00;149.76;0
18.00;15.00;4;Laptop & Accessory;3;Divorced;2;0;12.00;155.93;0
10.00;10.00;5;Fashion;1;Married;6;0;;221.99;0
18.00;27.00.00;4;Mobile Phone;4;Single;3;0;04.00;159.02.00;0
11.00;17.00;4;Laptop & Accessory;4;Single;4;1;02.00;166.97;0
08.00;18.00;5;Laptop & Accessory;4;Married;6;0;09.00;169.09.00;0
22.00;;3;Mobile;5;Married;5;1;02.00;125.87;0
04.00;27.00.00;4;Laptop & Accessory;5;Married;2;0;;224.57.00;0
00.00;11.00;4;Fashion;2;Married;2;1;;22.807.999.999.999.900;0
18.00;35.00.00;4;Grocery;5;Married;5;0;18.00;288.28.00;0
13.00;11.00;4;Laptop & Accessory;3;Single;2;0;09.00;175.42.00;0
31.00.00;22.00;4;Grocery;3;Married;4;1;03.00;282.87;0
00.00;17.00;1;Laptop & Accessory;3;Married;9;0;02.00;147.07.00;1
01.00;25.00.00;2;Mobile Phone;5;Married;2;0;01.00;154.56.00;1
01.00;14.00;4;Mobile Phone;4;Single;3;1;01.00;149.72;1
20.00;22.00;4;Others;4;Divorced;7;0;04.00;315.81;0
04.00;11.00;3;Mobile Phone;1;Married;1;1;03.00;148.21.00;0
01.00;07.00;3;Mobile Phone;5;Married;2;0;02.00;135.91;0
08.00;22.00;4;Laptop & Accessory;4;Married;1;1;02.00;147.88;0
13.00;15.00;3;Laptop & Accessory;3;Married;4;0;07.00;139.75;0
01.00;16.00;4;Mobile Phone;4;Single;3;0;04.00;147.79;0
25.00.00;17.00;3;Laptop & Accessory;3;Divorced;9;0;04.00;131.49.00;0
19.00;11.00;6;Fashion;3;Married;6;0;;222.56.00;0
24.00.00;17.00;5;Fashion;1;Single;8;0;;229.96;0
00.00;22.00;5;Mobile Phone;5;Single;2;1;07.00;139.19.00;1
15.00;35.00.00;5;Grocery;4;Married;2;0;11.00;260.07.00;0
07.00;16.00;3;Laptop & Accessory;3;Married;2;1;07.00;140.01.00;0
19.00;06.00;3;Fashion;5;Married;2;0;07.00;204.53.00;0
11.00;06.00;4;Mobile;5;Single;5;0;00.00;128.58.00;0
24.00.00;07.00;4;Laptop & Accessory;3;Married;2;0;14.00;188.47.00;0
29.00.00;21.00;2;Others;4;Single;10;0;16.00;312.22.00;0
15.00;12.00;3;Fashion;5;Married;10;0;07.00;23.348.000.000.000.000;0
15.00;11.00;4;Fashion;3;Married;2;1;;229.47.00;0
04.00;14.00;3;Laptop & Accessory;1;Single;2;0;08.00;144.24.00;0
;12.00;4;Mobile;3;Married;1;0;03.00;121.87;0
00.00;08.00;4;Mobile;1;Single;8;0;00.00;127.85;1
07.00;06.00;1;Mobile;1;Single;3;0;03.00;132.08.00;0
02.00;11.00;4;Laptop & Accessory;3;Married;3;0;05.00;167.21.00;0
09.00;34.00.00;5;Mobile Phone;5;Single;3;0;02.00;150.59.00;0
04.00;08.00;3;Mobile;3;Married;1;0;02.00;130.67;0
10.00;18.00;5;Laptop & Accessory;1;Married;6;0;01.00;191.52.00;0
;26.00.00;3;Mobile;3;Divorced;5;0;00.00;122.59.00;0
07.00;32.00.00;4;Laptop & Accessory;3;Divorced;3;0;02.00;170.39.00;0
01.00;07.00;6;Mobile Phone;4;Single;9;1;08.00;147.16.00;1
00.00;09.00;4;Fashion;1;Married;2;1;07.00;203.25.00;1
19.00;11.00;4;Laptop & Accessory;4;Divorced;3;0;09.00;169.47.00;0
16.00;32.00.00;3;Grocery;1;Married;2;1;12.00;269.59.00;0
04.00;09.00;5;Mobile Phone;5;Single;2;0;08.00;174.68;0
16.00;36.00.00;4;Laptop & Accessory;3;Married;4;0;03.00;170.56.00;0
00.00;12.00;3;Mobile;5;Single;3;0;03.00;129.06.00;1
31.00.00;35.00.00;5;Fashion;5;Married;6;0;;227.66;0
30.00.00;13.00;1;Laptop & Accessory;1;Married;1;1;09.00;152.02.00;0
15.00;07.00;4;Laptop & Accessory;5;Married;2;0;08.00;166.03.00;0
06.00;09.00;4;Laptop & Accessory;3;Single;6;1;08.00;174.98;0
06.00;15.00;4;Fashion;2;Single;3;0;;214.98;0
30.00.00;13.00;3;Others;5;Divorced;6;0;10.00;295.66;0
06.00;13.00;3;Fashion;3;Divorced;1;0;;21.691.000.000.000.000;0
05.00;14.00;5;Mobile Phone;3;Divorced;5;0;03.00;148.29.00;0
01.00;27.00.00;3;Mobile;2;Divorced;2;0;02.00;127.13.00;0
07.00;09.00;4;Laptop & Accessory;1;Married;3;0;05.00;180.05.00;0
;28.00.00;3;Mobile;3;Married;5;1;01.00;121.32.00;1
01.00;13.00;4;Mobile Phone;1;Married;3;1;03.00;81.00.00;0
02.00;23.00;3;Laptop & Accessory;5;Single;2;0;08.00;181.61;0
16.00;36.00.00;4;Laptop & Accessory;3;Married;4;0;03.00;170.56.00;0
16.00;19.00;4;Mobile Phone;4;Married;10;0;05.00;152.66;0
19.00;09.00;1;Grocery;5;Married;3;0;08.00;232.25.00;0
16.00;14.00;2;Laptop & Accessory;4;Married;8;1;01.00;148.72;0
11.00;09.00;3;Laptop & Accessory;2;Single;9;1;00.00;168.61;0
10.00;21.00;4;Laptop & Accessory;1;Married;2;1;12.00;190.86;0
15.00;14.00;6;Others;3;Married;3;0;11.00;324.73;0
14.00;14.00;4;Others;4;Single;3;0;09.00;323.33.00;0
01.00;31.00.00;2;Mobile Phone;5;Single;3;0;01.00;135.91;1
23.00;08.00;3;Grocery;3;Married;6;0;03.00;276.39.00;0
13.00;32.00.00;3;Laptop & Accessory;4;Married;2;0;13.00;156.05.00;0
00.00;06.00;3;Mobile;4;Single;2;1;04.00;132.02.00;1
19.00;13.00;3;Laptop & Accessory;3;Married;3;0;00.00;152.58.00;0
08.00;;4;Mobile;1;Married;2;0;02.00;12.375.999.999.999.900;0
25.00.00;14.00;3;Mobile;5;Married;10;0;04.00;129.05.00;0
10.00;17.00;4;Fashion;2;Single;3;0;;224.08.00;0
01.00;07.00;6;Laptop & Accessory;4;Single;8;0;01.00;192.35.00;1
19.00;14.00;3;Laptop & Accessory;3;Divorced;6;0;03.00;189.34.00;0
06.00;31.00.00;3;Laptop & Accessory;3;Married;2;0;01.00;145.39.00;0
01.00;32.00.00;4;Laptop & Accessory;5;Married;2;0;04.00;147.24.00;0
16.00;12.00;4;Mobile Phone;3;Married;6;0;01.00;145.93;0
09.00;13.00;4;Mobile Phone;3;Divorced;2;1;03.00;160.06.00;0
01.00;26.00.00;3;Laptop & Accessory;2;Single;10;1;05.00;178.04.00;1
07.00;09.00;4;Mobile Phone;2;Single;2;0;03.00;150.00.00;0
01.00;25.00.00;2;Laptop & Accessory;3;Divorced;4;0;03.00;187.32.00;0
08.00;17.00;4;Mobile Phone;3;Divorced;3;1;01.00;147.02.00;0
;21.00;3;Mobile Phone;1;Single;2;0;00.00;112.32.00;0
17.00;09.00;5;Fashion;1;Married;2;0;;226.69;1
;15.00;4;Mobile;3;Single;2;0;08.00;122.06.00;0
07.00;12.00;5;Mobile Phone;1;Married;3;0;03.00;154.11.00;0
16.00;16.00;4;Mobile Phone;1;Single;3;0;09.00;161.73;0
03.00;16.00;4;Laptop & Accessory;3;Married;2;0;04.00;165.78;0
11.00;08.00;3;Mobile Phone;1;Single;6;1;02.00;139.44.00;0
11.00;;3;Mobile;5;Single;4;0;00.00;126.19.00;0
13.00;11.00;4;Fashion;5;Divorced;6;1;12.00;204.75;0
17.00;22.00;5;Grocery;3;Married;3;0;12.00;301.03.00;0
11.00;12.00;5;Laptop & Accessory;1;Married;8;1;09.00;153.29.00;0
07.00;15.00;4;Laptop & Accessory;3;Single;4;1;01.00;188.88;0
06.00;12.00;5;Laptop & Accessory;4;Married;5;0;06.00;183.78;0
11.00;10.00;3;Mobile;3;Married;8;0;00.00;133.06.00;0
15.00;32.00.00;3;Fashion;5;Married;4;1;00.00;23.191.000.000.000.000;0
13.00;35.00.00;5;Laptop & Accessory;5;Single;5;0;04.00;167.84;1
06.00;12.00;4;Mobile Phone;4;Single;4;0;08.00;152.18.00;0
07.00;08.00;3;Laptop & Accessory;1;Single;2;0;04.00;162.74;0
00.00;13.00;5;Laptop & Accessory;3;Single;2;1;06.00;160.74;1
16.00;09.00;5;Laptop & Accessory;2;Single;5;0;01.00;192.81;0
05.00;17.00;4;Laptop & Accessory;1;Married;4;1;05.00;190.83;0
19.00;08.00;3;Fashion;1;Married;5;1;03.00;203.68;0
;22.00;3;Mobile;3;Single;2;0;04.00;121.44.00;0
00.00;13.00;4;Laptop & Accessory;5;Single;9;0;07.00;168.11.00;0
20.00;31.00.00;4;Mobile Phone;1;Single;3;0;01.00;150.87;1
08.00;07.00;4;Laptop & Accessory;4;Married;3;0;04.00;168.25.00;0
12.00;08.00;4;Laptop & Accessory;1;Married;9;0;04.00;152.04.00;0
01.00;08.00;4;Mobile Phone;3;Married;3;0;02.00;137.23.00;0
04.00;13.00;3;Fashion;5;Married;3;0;02.00;196.37.00;0
09.00;07.00;5;Mobile Phone;5;Single;3;0;03.00;149.05.00;0
12.00;16.00;5;Mobile Phone;4;Divorced;2;0;03.00;153.99;0
25.00.00;07.00;4;Mobile Phone;2;Divorced;3;0;01.00;152.23.00;0
06.00;14.00;4;Laptop & Accessory;1;Married;6;0;;217.04.00;0
21.00;09.00;4;Grocery;1;Married;3;1;01.00;292.52.00;0
07.00;08.00;1;Mobile;1;Married;1;1;02.00;129.32.00;0
;31.00.00;5;Mobile;3;Single;2;0;01.00;122.93;1
07.00;12.00;3;Laptop & Accessory;3;Single;2;0;10.00;148.09.00;0
03.00;16.00;3;Fashion;3;Single;10;0;02.00;196.67;0
00.00;09.00;3;Mobile;5;Single;1;0;04.00;131.02.00;1
01.00;13.00;2;Mobile Phone;5;Married;3;1;01.00;141.01.00;1
13.00;08.00;3;Laptop & Accessory;4;Married;4;0;10.00;156.77;0
00.00;08.00;3;Mobile;4;Married;10;0;02.00;134.68;0
;30.00.00;3;Mobile;4;Single;2;0;04.00;12.177.000.000.000.000;0
17.00;11.00;4;Mobile;3;Single;4;0;03.00;131.62;0
