user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date,cluster,pca1,pca2,risk_score,risk_category,Alert_Timestamp,Alert_Priority
U00018,58,Male,High School,Employed,Doctor,2571.3,1336.77,230407.66,No,,0.0,0,0.0,0.0,0.0,332,7.47,Africa,2021-09-18,1,-0.263382736691173,-0.45287864979172,75.62,Low Risk,2026-01-08 17:56:47,CRITICAL
U00020,22,Male,Bachelor,Employed,Engineer,3520.81,1148.36,420217.83,No,,0.0,0,0.0,0.0,0.0,345,9.95,Other,2022-07-22,1,-0.5322178824505094,0.2111464624164619,76.24,Low Risk,2026-01-08 17:56:47,CRITICAL
U00021,23,Male,High School,Student,Engineer,8237.77,7316.78,83622.72,Yes,Business,425717.2,36,13258.1,7.58,1.61,622,0.85,Europe,2023-03-24,0,0.4532107218684421,-0.9173051822157604,40.97,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00023,24,Female,Master,Self-employed,Driver,1694.87,604.03,118470.87,Yes,Education,78365.77,180,1315.94,18.95,0.78,641,5.82,North America,2023-11-25,1,0.1946909441944483,0.5173851154855504,66.76,Low Risk,2026-01-08 17:56:47,CRITICAL
U00024,69,Male,Bachelor,Employed,Salesperson,998.46,612.4,92532.51,Yes,Education,229175.32,180,1741.49,4.4,1.74,649,7.72,Asia,2022-05-22,1,0.6016085046700151,1.026409452361312,38.34,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00025,57,Female,Other,Employed,Driver,2676.43,1507.85,28157.7,Yes,Education,41355.61,360,745.27,21.59,0.28,357,0.88,Europe,2021-12-11,2,-0.1546174559018222,-1.9781597282310104,68.4,Low Risk,2026-01-08 17:56:47,CRITICAL
U00030,18,Other,PhD,Employed,Teacher,6561.08,2121.71,489775.18,Yes,Home,160168.84,24,7393.94,10.04,1.13,495,6.22,Europe,2022-11-29,1,-0.2954780016779,-0.1014883075882181,49.39,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00031,67,Female,Master,Self-employed,Salesperson,4101.49,2272.56,281937.28,No,,0.0,0,0.0,0.0,0.0,398,5.73,Africa,2023-01-16,2,-0.5756561637996174,-0.6069894683355518,78.73,Low Risk,2026-01-08 17:56:47,CRITICAL
U00034,22,Male,Bachelor,Self-employed,Doctor,5968.05,5178.58,561103.95,Yes,Education,247715.73,240,6187.05,29.89,1.04,432,7.83,Asia,2024-04-23,1,0.028402029788566,0.016770788572285,49.13,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00035,40,Female,Master,Student,Accountant,5227.68,1885.49,58507.61,No,,0.0,0,0.0,0.0,0.0,469,0.93,North America,2023-07-08,2,-0.915277107590688,-1.488900588683057,82.07,Low Risk,2026-01-08 17:56:47,CRITICAL
U00036,67,Female,High School,Employed,Unemployed,6715.76,5990.35,306664.24,Yes,Business,119105.91,240,2948.4,29.62,0.44,431,3.81,Africa,2025-04-13,2,-0.5279759527954382,-0.9811442716426192,67.08,Low Risk,2026-01-08 17:56:47,CRITICAL
U00037,23,Female,Bachelor,Employed,Student,5715.32,2095.91,341340.99,Yes,Business,286165.04,60,5560.36,6.21,0.97,660,4.98,North America,2023-12-28,0,-0.2720177693736023,0.3391615988580885,61.96,Low Risk,2026-01-08 17:56:47,CRITICAL
U00038,20,Female,Other,Employed,Engineer,3680.12,1287.07,235418.64,No,,0.0,0,0.0,0.0,0.0,357,5.33,Africa,2022-10-04,2,-0.5653409884145487,-0.8815313761364162,76.8,Low Risk,2026-01-08 17:56:47,CRITICAL
U00039,62,Other,High School,Unemployed,Unemployed,5687.15,1963.55,119125.28,Yes,Car,227815.99,120,4681.0,21.82,0.82,558,1.75,North America,2023-04-18,2,-0.4050823104673119,-0.9107400900116274,61.66,Low Risk,2026-01-08 17:56:47,CRITICAL
U00040,28,Male,Other,Unemployed,Manager,1867.36,1255.01,63775.73,Yes,Home,194745.92,24,9002.72,10.18,4.82,340,2.85,Africa,2022-02-15,2,1.68770749361512,-1.5933211784323604,-68.6,,2026-01-08 17:56:47,CRITICAL
U00043,28,Female,Bachelor,Student,Engineer,3770.92,2069.83,127007.45,Yes,Home,346165.48,120,9122.99,29.99,2.42,736,2.81,Other,2023-07-25,0,0.8687952358783219,0.1432107373168906,22.04,High Risk,2026-01-08 17:56:47,CRITICAL
U00045,66,Female,High School,Employed,Student,4484.67,3423.56,282513.69,No,,0.0,0,0.0,0.0,0.0,353,5.25,Africa,2024-11-19,2,-0.5673510528766541,-0.9330975651051244,76.61,Low Risk,2026-01-08 17:56:47,CRITICAL
U00047,51,Male,Bachelor,Employed,Driver,3461.19,2105.77,326383.22,Yes,Car,262277.54,12,25393.55,28.64,7.34,437,7.86,North America,2022-02-26,3,3.456846886655637,0.0051534663140038,-139.64,,2026-01-08 17:56:47,CRITICAL
U00048,27,Female,High School,Employed,Unemployed,5435.08,3236.98,218792.9,No,,0.0,0,0.0,0.0,0.0,410,3.35,North America,2024-04-17,2,-0.8376977146513971,-1.1581122721715902,79.29,Low Risk,2026-01-08 17:56:47,CRITICAL
U00049,40,Male,High School,Employed,Manager,5120.45,2800.87,538000.21,No,,0.0,0,0.0,0.0,0.0,360,8.76,Europe,2021-09-11,1,-0.7949916313713923,-0.0364777673367756,76.94,Low Risk,2026-01-08 17:56:47,CRITICAL
U00051,66,Female,Master,Employed,Accountant,7928.51,4812.56,157372.59,Yes,Education,139161.95,12,11931.17,5.28,1.5,552,1.65,Africa,2025-05-26,2,0.1280500263156298,-1.0155223048775015,40.98,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00052,32,Female,PhD,Employed,Student,3605.56,2230.97,312952.9,Yes,Car,126966.04,240,2312.37,21.55,0.64,662,7.23,Africa,2022-05-04,1,-0.0761246060027167,0.934808450992918,71.95,Low Risk,2026-01-08 17:56:47,CRITICAL
U00053,62,Female,Bachelor,Employed,Accountant,2457.83,1569.03,248428.48,Yes,Home,60761.3,12,5405.96,12.26,2.2,324,8.42,Africa,2021-12-26,1,0.7307699796758395,-0.2745065891386445,9.25,High Risk,2026-01-08 17:56:47,CRITICAL
U00055,23,Female,Master,Employed,Unemployed,1202.86,434.32,23286.97,Yes,Business,425557.94,300,9661.11,27.21,8.03,542,1.61,Other,2024-06-30,3,2.4476311597303675,-1.0022302332478918,-155.39,,2026-01-08 17:56:47,CRITICAL
U00057,32,Female,Bachelor,Unemployed,Salesperson,2870.89,1594.1,176571.54,Yes,Car,353907.82,180,5875.96,18.69,2.05,438,5.13,Africa,2023-03-06,2,0.6481456156868197,-0.5871807501081501,19.11,High Risk,2026-01-08 17:56:47,CRITICAL
U00059,47,Male,Master,Self-employed,Teacher,4742.29,4092.62,107794.57,Yes,Business,361076.68,300,7642.18,25.35,1.61,528,1.89,Africa,2024-12-16,2,0.4977412501376983,-1.0185919222487707,36.55,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00061,55,Female,Bachelor,Employed,Engineer,3521.64,2205.01,383467.46,No,,0.0,0,0.0,0.0,0.0,497,9.07,Asia,2023-01-20,1,-0.415241698835139,0.6660049868195096,83.39,Low Risk,2026-01-08 17:56:47,CRITICAL
U00063,50,Female,Master,Employed,Doctor,7019.54,5798.56,293692.72,No,,0.0,0,0.0,0.0,0.0,458,3.49,Africa,2022-05-21,2,-1.0012459579566908,-0.9322721526919232,81.55,Low Risk,2026-01-08 17:56:47,CRITICAL
U00065,68,Female,Master,Employed,Doctor,500.0,288.6,56868.63,Yes,Education,70418.98,24,3567.2,19.51,7.13,759,9.48,Africa,2023-06-25,1,1.8754121434051108,1.9398879261900384,-118.18,,2026-01-08 17:56:47,CRITICAL
U00066,53,Female,Master,Employed,Engineer,6992.09,4515.3,512364.61,No,,0.0,0,0.0,0.0,0.0,328,6.11,North America,2023-07-19,2,-1.1299132379304373,-0.8573968054035563,75.44,Low Risk,2026-01-08 17:56:47,CRITICAL
U00068,43,Female,Bachelor,Employed,Teacher,6188.38,5266.76,439026.61,Yes,Car,71287.65,300,1116.02,18.6,0.18,479,5.91,Other,2024-02-04,2,-0.6832788222982004,-0.2342289903674074,77.14,Low Risk,2026-01-08 17:56:47,CRITICAL
U00071,19,Female,Bachelor,Employed,Driver,3314.62,2708.28,376535.92,Yes,Home,448817.77,24,21557.52,14.04,6.5,386,9.47,Africa,2023-11-15,3,3.017821742964796,0.1902690716529834,-116.84,,2026-01-08 17:56:47,CRITICAL
U00074,54,Male,Bachelor,Employed,Teacher,3250.36,1000.46,36918.93,Yes,Car,62265.67,36,2274.23,18.74,0.7,381,0.95,Europe,2025-04-29,2,-0.1276212678963695,-1.86335070700796,56.93,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00076,61,Male,Other,Self-employed,Engineer,3806.35,3125.32,224981.27,No,,0.0,0,0.0,0.0,0.0,427,4.93,North America,2022-11-03,2,-0.4099902814014761,-0.6761227259872368,80.09,Low Risk,2026-01-08 17:56:47,CRITICAL
U00077,67,Male,Bachelor,Employed,Accountant,2754.29,2206.07,325411.04,No,,0.0,0,0.0,0.0,0.0,408,9.85,Europe,2024-07-23,1,-0.2163562235363128,0.47022898258322,79.2,Low Risk,2026-01-08 17:56:47,CRITICAL
U00080,38,Male,Bachelor,Employed,Unemployed,5688.88,4225.81,62785.22,No,,0.0,0,0.0,0.0,0.0,328,0.92,Other,2023-07-04,2,-0.8163323854916225,-2.1300569318320712,75.44,Low Risk,2026-01-08 17:56:47,CRITICAL
U00082,69,Male,Bachelor,Employed,Teacher,4265.87,2875.19,245455.57,Yes,Business,364366.19,360,6698.74,22.03,1.57,341,4.79,North America,2024-08-24,2,0.38975699192079,-1.121023676051609,28.95,High Risk,2026-01-08 17:56:47,CRITICAL
U00083,56,Male,High School,Employed,Driver,5243.62,2708.77,63342.67,No,,0.0,0,0.0,0.0,0.0,316,1.01,Europe,2022-06-16,2,-0.8498005683300904,-2.1523709285269814,74.87,Low Risk,2026-01-08 17:56:47,CRITICAL
U00084,66,Male,Bachelor,Unemployed,Manager,859.55,587.39,78540.06,No,,0.0,0,0.0,0.0,0.0,499,7.61,North America,2024-09-14,1,0.1335110892024143,0.3424471211401759,83.48,Low Risk,2026-01-08 17:56:47,CRITICAL
U00085,35,Female,Bachelor,Student,Student,500.0,186.16,44022.81,Yes,Business,485558.06,240,9979.87,24.47,19.96,522,7.34,Africa,2021-11-07,3,4.8149530236870985,0.3085763303512672,-514.24,,2026-01-08 17:56:47,CRITICAL
U00086,56,Male,Bachelor,Self-employed,Manager,3441.0,1507.18,53415.83,Yes,Education,265602.3,240,3287.4,13.92,0.96,338,1.29,North America,2025-03-29,2,0.0174144963714024,-1.977451909320186,47.11,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00088,64,Male,High School,Employed,Doctor,4094.03,3040.02,121047.06,Yes,Home,149204.44,24,6954.1,11.0,1.7,592,2.46,North America,2025-04-08,0,0.5194074657617852,-0.5816301960314006,36.86,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00089,65,Male,Other,Employed,Engineer,2093.08,1829.04,200938.05,Yes,Business,209372.81,300,4694.32,26.87,2.24,643,8.0,Asia,2024-02-05,1,0.8163541987081285,1.0450509291489016,23.06,High Risk,2026-01-08 17:56:47,CRITICAL
U00091,60,Male,Bachelor,Employed,Driver,4937.13,3346.72,132805.31,No,,0.0,0,0.0,0.0,0.0,319,2.24,Europe,2022-09-13,2,-0.7023655476571685,-1.8336338752119103,75.01,Low Risk,2026-01-08 17:56:47,CRITICAL
U00092,66,Male,Bachelor,Self-employed,Engineer,5016.38,1968.11,492212.1,Yes,Business,374187.93,360,5948.51,19.01,1.19,656,8.18,Europe,2023-10-10,1,-0.0156896335695727,1.1189088171492851,55.17,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00093,28,Female,Bachelor,Employed,Accountant,3861.95,3317.24,341949.66,Yes,Business,186971.57,300,3408.99,21.78,0.88,475,7.38,Europe,2021-08-15,1,0.1018383567354759,0.1304964361131183,55.95,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00096,42,Female,High School,Self-employed,Student,4611.11,3822.53,532141.72,No,,0.0,0,0.0,0.0,0.0,330,9.62,Europe,2025-07-16,1,-0.5581007642791951,0.0444702485805315,75.53,Low Risk,2026-01-08 17:56:47,CRITICAL
U00098,41,Female,High School,Employed,Student,4800.82,2999.36,554991.36,Yes,Business,90569.16,120,995.07,5.77,0.21,495,9.63,Africa,2021-08-15,1,-0.5398376162600026,0.7781847967899916,76.99,Low Risk,2026-01-08 17:56:47,CRITICAL
U00100,29,Female,High School,Self-employed,Student,7693.61,2611.02,760095.88,Yes,Business,385433.3,240,5086.74,15.04,0.66,729,8.23,Europe,2024-02-05,1,-0.8438146957383522,1.4336202307288013,74.51,Low Risk,2026-01-08 17:56:47,CRITICAL
U00101,46,Female,High School,Unemployed,Student,2914.79,2343.4,271108.54,Yes,Car,137356.5,12,13323.69,29.01,4.57,739,7.75,Africa,2024-02-18,1,1.9416819774626453,1.3691318615069552,-42.32,,2026-01-08 17:56:47,CRITICAL
U00102,46,Female,Bachelor,Self-employed,Unemployed,5754.2,4350.5,309260.01,Yes,Home,447155.5,24,20376.93,8.75,3.54,823,4.48,Europe,2024-01-16,3,1.904110572384789,0.8810971024263998,-7.47,,2026-01-08 17:56:47,CRITICAL
U00105,39,Female,Bachelor,Self-employed,Engineer,3095.39,2043.0,110968.23,No,,0.0,0,0.0,0.0,0.0,401,2.99,North America,2024-09-27,2,-0.3324512655918645,-1.2624158254276172,78.87,Low Risk,2026-01-08 17:56:47,CRITICAL
U00106,25,Female,Master,Employed,Accountant,500.0,321.27,1691.04,No,,0.0,0,0.0,0.0,0.0,391,0.28,Africa,2022-09-21,2,0.1856056576154284,-1.9492007860309173,65.2,Low Risk,2026-01-08 17:56:47,CRITICAL
U00107,50,Female,High School,Employed,Teacher,6046.28,2113.21,599502.38,Yes,Car,67225.16,240,580.0,8.42,0.1,421,8.26,Europe,2024-03-13,1,-1.0307475547818374,0.1027832969637631,76.81,Low Risk,2026-01-08 17:56:47,CRITICAL
U00110,20,Male,High School,Employed,Teacher,2929.53,984.94,89514.32,Yes,Education,308255.27,36,12976.42,29.35,4.43,655,2.55,Other,2021-10-29,0,1.7287695348233545,-0.2868268894333826,-42.08,,2026-01-08 17:56:47,CRITICAL
U00112,32,Male,Bachelor,Unemployed,Manager,500.0,277.65,21148.54,Yes,Business,252917.6,24,13678.18,26.41,27.36,719,3.52,Europe,2023-03-15,3,6.550031059053698,0.2111525553808626,-726.96,,2026-01-08 17:56:47,CRITICAL
U00117,22,Male,Master,Self-employed,Unemployed,5694.16,3329.82,577885.77,No,,0.0,0,0.0,0.0,0.0,455,8.46,Africa,2024-04-13,1,-0.888041172096657,0.3049538546027761,81.41,Low Risk,2026-01-08 17:56:47,CRITICAL
U00118,37,Male,High School,Employed,Doctor,6445.0,2133.41,497762.51,Yes,Education,467003.63,120,5135.59,5.79,0.8,505,6.44,Africa,2024-09-30,1,-0.5479121278764082,0.0062643700744469,59.76,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00119,59,Male,Bachelor,Self-employed,Teacher,911.07,558.52,38180.42,No,,0.0,0,0.0,0.0,0.0,450,3.49,Other,2023-07-31,2,0.1079965996497589,-0.8962376098109935,81.18,Low Risk,2026-01-08 17:56:47,CRITICAL
U00120,69,Female,Bachelor,Self-employed,Teacher,5006.86,2067.88,440716.54,Yes,Home,434202.98,180,4636.79,9.89,0.93,492,7.34,Europe,2023-09-21,1,-0.1960951412461853,0.1858200873608008,55.25,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00121,60,Female,Bachelor,Self-employed,Manager,4746.79,1746.18,454299.28,No,,0.0,0,0.0,0.0,0.0,300,7.98,Asia,2021-10-31,1,-0.8063702103038793,-0.4898585665369458,74.12,Low Risk,2026-01-08 17:56:47,CRITICAL
U00122,48,Female,Bachelor,Self-employed,Teacher,5014.03,4510.86,34735.15,No,,0.0,0,0.0,0.0,0.0,388,0.58,Other,2023-03-25,2,-0.6027655549597835,-1.942166340670949,78.26,Low Risk,2026-01-08 17:56:47,CRITICAL
U00124,62,Female,High School,Employed,Accountant,2132.56,1059.94,162221.28,No,,0.0,0,0.0,0.0,0.0,442,6.34,Other,2022-03-19,1,-0.1659231271254935,-0.2386074442723685,80.8,Low Risk,2026-01-08 17:56:47,CRITICAL
U00125,36,Male,Bachelor,Employed,Engineer,3393.94,2213.65,71989.52,No,,0.0,0,0.0,0.0,0.0,302,1.77,Other,2023-08-25,2,-0.4048542415399148,-2.0081549823658893,74.21,Low Risk,2026-01-08 17:56:47,CRITICAL
U00127,32,Male,Bachelor,Self-employed,Salesperson,5517.86,2461.46,614312.76,Yes,Education,240112.43,36,7276.43,5.74,1.32,672,9.28,Africa,2023-12-08,1,0.0584899111626909,1.4519906417284492,52.02,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00128,63,Male,Master,Employed,Doctor,4562.38,3333.19,222227.77,No,,0.0,0,0.0,0.0,0.0,389,4.06,North America,2024-10-20,2,-0.5955754909649185,-1.0680982277951374,78.31,Low Risk,2026-01-08 17:56:47,CRITICAL
U00130,62,Female,Other,Self-employed,Unemployed,2675.77,1629.83,191885.84,No,,0.0,0,0.0,0.0,0.0,309,5.98,Europe,2021-08-10,2,-0.2656620748241129,-0.9260578034374068,74.54,Low Risk,2026-01-08 17:56:47,CRITICAL
U00132,22,Male,Master,Unemployed,Student,2174.1,1350.58,48698.49,Yes,Car,303939.92,360,3493.33,13.55,1.61,808,1.87,North America,2022-09-07,0,0.5188523439267576,0.2667141547714444,49.72,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00133,42,Other,High School,Self-employed,Driver,500.0,367.36,1539.77,Yes,Home,52950.72,180,876.45,18.62,1.75,466,0.26,Other,2023-12-18,2,0.601937123968044,-1.627166092757394,15.03,High Risk,2026-01-08 17:56:47,CRITICAL
U00134,63,Male,Master,Employed,Accountant,500.0,247.01,14063.39,Yes,Business,221762.56,24,11404.13,21.08,22.81,727,2.34,Asia,2022-10-24,3,5.492326571997756,-0.0285794310567571,-590.09,,2026-01-08 17:56:47,CRITICAL
U00135,49,Female,Master,Self-employed,Unemployed,3506.98,1452.57,26014.28,Yes,Home,279333.93,24,13550.6,15.05,3.86,415,0.62,Africa,2022-07-18,2,1.5528229225951489,-1.839620073780183,-36.27,,2026-01-08 17:56:47,CRITICAL
U00136,53,Other,Master,Self-employed,Student,923.93,574.22,11720.2,No,,0.0,0,0.0,0.0,0.0,311,1.06,North America,2021-11-04,2,0.0917954828683555,-2.1165003154029,74.64,Low Risk,2026-01-08 17:56:47,CRITICAL
U00139,19,Female,Bachelor,Employed,Doctor,4386.66,3614.62,89565.02,No,,0.0,0,0.0,0.0,0.0,442,1.7,Africa,2023-06-03,2,-0.5187989480821005,-1.4161143170701582,80.8,Low Risk,2026-01-08 17:56:47,CRITICAL
U00142,42,Male,Bachelor,Self-employed,Engineer,2203.06,1462.28,202812.39,Yes,Car,476445.97,180,4269.12,6.95,1.94,416,7.67,Europe,2023-02-13,1,0.6340890571730758,-0.0442730155791059,21.38,High Risk,2026-01-08 17:56:47,CRITICAL
U00143,25,Male,Bachelor,Employed,Doctor,2121.33,1452.04,56990.24,No,,0.0,0,0.0,0.0,0.0,359,2.24,Asia,2022-10-22,2,-0.1353572996669074,-1.624325635159371,76.89,Low Risk,2026-01-08 17:56:47,CRITICAL
U00145,40,Male,High School,Employed,Driver,5097.06,3419.27,389532.25,Yes,Education,307994.5,60,6199.42,7.69,1.22,719,6.37,Africa,2022-04-24,1,0.1414593390249849,0.9447566708688772,57.24,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00147,44,Male,Master,Employed,Student,4217.69,1809.9,11134.48,Yes,Education,100229.28,120,2561.89,28.91,0.61,463,0.22,North America,2022-07-04,2,-0.287073370041799,-1.691382288228254,46.69,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00150,45,Female,Master,Unemployed,Manager,1758.36,766.96,187897.72,No,,0.0,0,0.0,0.0,0.0,472,8.9,Asia,2022-11-10,1,-0.0896687282315672,0.5331406287160024,82.21,Low Risk,2026-01-08 17:56:47,CRITICAL
U00151,22,Female,Bachelor,Self-employed,Manager,4473.92,1535.68,43241.78,Yes,Education,254781.07,300,2785.62,12.54,0.62,665,0.81,Africa,2023-07-09,0,-0.341431962797171,-0.6489242180075483,72.69,Low Risk,2026-01-08 17:56:47,CRITICAL
U00155,51,Male,Bachelor,Student,Student,3522.93,2219.64,166888.07,Yes,Business,121105.66,120,2441.67,21.25,0.69,734,3.95,North America,2022-08-14,0,-0.0310031270353945,0.4430246407674924,73.84,Low Risk,2026-01-08 17:56:47,CRITICAL
U00157,49,Male,Bachelor,Student,Unemployed,7459.78,2721.08,616277.82,Yes,Home,107542.17,36,3324.03,7.07,0.45,343,6.88,Other,2022-09-02,2,-1.0181695354872438,-0.6099549064536265,62.64,Low Risk,2026-01-08 17:56:47,CRITICAL
U00161,29,Female,Bachelor,Student,Accountant,6252.73,5034.59,356867.71,No,,0.0,0,0.0,0.0,0.0,431,4.76,Other,2024-07-24,2,-0.8732895898110286,-0.7285223420387714,80.28,Low Risk,2026-01-08 17:56:47,CRITICAL
U00162,21,Female,Master,Employed,Salesperson,5568.07,3885.54,7925.2,Yes,Home,310175.08,60,6274.4,7.9,1.13,319,0.12,North America,2024-09-26,2,0.0128678406818597,-2.388112782959801,18.31,High Risk,2026-01-08 17:56:47,CRITICAL
U00163,24,Female,Master,Employed,Student,3511.6,2078.72,254257.51,No,,0.0,0,0.0,0.0,0.0,487,6.03,Africa,2021-09-13,1,-0.4295467603999301,-0.1308709908517827,82.92,Low Risk,2026-01-08 17:56:47,CRITICAL
U00166,28,Female,Other,Employed,Doctor,5153.52,2666.13,210984.81,Yes,Education,293319.26,180,3218.75,10.37,0.62,725,3.41,Asia,2024-07-04,0,-0.3588861421708705,0.2508359488112694,75.52,Low Risk,2026-01-08 17:56:47,CRITICAL
U00167,63,Male,Bachelor,Employed,Doctor,3615.78,2132.52,61675.88,Yes,Car,452052.75,36,15624.11,14.79,4.32,612,1.42,Africa,2024-09-10,0,1.899809334407768,-0.775799913641196,-40.8,,2026-01-08 17:56:47,CRITICAL
U00170,38,Female,Bachelor,Employed,Teacher,4490.56,3320.63,297905.93,Yes,Business,468474.41,300,4263.64,10.02,0.95,612,5.53,Other,2025-03-14,1,0.0413963031132648,0.2732027883482547,60.3,Low Risk,2026-01-08 17:56:47,CRITICAL
U00171,38,Male,Master,Employed,Manager,1460.62,1268.14,169609.99,Yes,Education,76472.17,60,1790.89,14.29,1.23,626,9.68,North America,2023-12-25,1,0.4562233933254062,1.404215622497333,52.56,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00175,32,Female,Master,Employed,Accountant,7165.19,4548.38,478911.39,Yes,Car,454700.88,12,40730.07,13.55,5.68,526,5.57,Africa,2021-10-12,3,3.946820733959788,-0.2517031411069443,-85.65,,2026-01-08 17:56:47,CRITICAL
U00176,40,Female,Bachelor,Self-employed,Driver,4759.74,1986.55,111295.7,Yes,Business,396634.36,60,8517.36,10.46,1.79,371,1.95,North America,2022-06-19,2,0.389787619307277,-1.6987743982013674,23.76,High Risk,2026-01-08 17:56:47,CRITICAL
U00177,64,Male,Master,Employed,Doctor,1542.4,1030.45,68384.41,No,,0.0,0,0.0,0.0,0.0,339,3.69,North America,2023-08-02,2,-0.0226327847076616,-1.3476306890356815,75.95,Low Risk,2026-01-08 17:56:47,CRITICAL
U00178,45,Male,High School,Unemployed,Salesperson,4425.49,2496.84,328802.42,Yes,Business,59704.35,240,1452.94,29.11,0.33,408,6.19,Other,2023-05-13,2,-0.4333171331736722,-0.4574689343151635,69.3,Low Risk,2026-01-08 17:56:47,CRITICAL
